model,evaluated_on,accuracy,precision,recall,f1,training_time_s,inference_time_s,inference_per_sample_ms,training_note
Logistic Regression (TF-IDF),test_7500_rows,0.892,0.8828125,0.904,0.8932806324110671,0.492,0.002,0.0002,Fast
"Pre-trained Transformer (DistilBERT, raw text)",test_7500_rows,0.8930666666666667,0.915445321307779,0.8661333333333333,0.8901068785968759,,133.688,17.8251,Inference only
Linear SVM (TF-IDF),test_7500_rows,0.8868,0.882818685669042,0.892,0.8873855949064863,0.947,0.001,0.0002,Fast
LSTM (Keras),test_7500_rows,0.8837333333333334,0.8613761928679056,0.9146666666666666,0.8872219348163477,24.818,3.285,0.438,High (epoch-based)
Naive Bayes (TF-IDF),test_7500_rows,0.8689333333333333,0.8553814538916004,0.888,0.8713855815779145,0.034,0.003,0.0004,Fast
Random Forest (TF-IDF),test_7500_rows,0.8569333333333333,0.8585587998928476,0.8546666666666667,0.8566083121742617,160.74,0.604,0.0805,Moderate
Pre-trained Transformer (DistilBERT),test_7500_rows,0.7742666666666667,0.9206543967280164,0.6002666666666666,0.7267150928167877,,94.064,12.5419,Inference only
