model,split,accuracy,precision,recall,f1,training_time_s
Logistic Regression,validation,0.8888148246900414,0.8806788511749347,0.8994666666666666,0.8899736147757256,0.5519848960000218
Logistic Regression (Tuned),validation,0.8888148246900414,0.8806788511749347,0.8994666666666666,0.8899736147757256,0.5519848960000218
Linear SVM,validation,0.8860151979736035,0.8840541257628018,0.8885333333333333,0.886288070222104,1.1148638490000167
Naive Bayes,validation,0.8600186641781096,0.8504672897196262,0.8736,0.861878453038674,0.037428572999942844
Random Forest,validation,0.8552193040927877,0.8553895410885806,0.8549333333333333,0.8551613763670312,170.83728107699994
