model,evaluated_on,accuracy,precision,recall,f1,training_time_note
Logistic Regression (TF-IDF),test_common_sample_7500,0.8918666666666667,0.8823835545147021,0.9042666666666667,0.8931910970630844,Low-Medium (seconds-minutes)
Linear SVM (TF-IDF),test_common_sample_7500,0.8869333333333334,0.8826476793248945,0.8925333333333333,0.8875629806417396,Medium (minutes)
LSTM (Keras),test_common_sample_7500,0.8728,0.8718085106382979,0.8741333333333333,0.8729693741677763,High (epoch-based training)
Naive Bayes (TF-IDF),test_common_sample_7500,0.8689333333333333,0.855198973042362,0.8882666666666666,0.8714192282537606,Low (seconds)
Random Forest (TF-IDF),test_common_sample_7500,0.8558666666666667,0.857870742826495,0.8530666666666666,0.8554619601551009,High among classic models
Pre-trained Transformer (sampled),test_common_sample_7500,0.7741333333333333,0.9206219312602292,0.6,0.7265095253471101,No training (inference only)
